Format Version,1.23,Take Name,Team4Aug1Flight2,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2025-08-01 12.48.59.096 PM,Total Frames in Take,36144,Total Exported Frames,36144,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"2B87E4636EF711F07C158CA0568E196","2B87E4636EF711F07C158CA0568E196","2B87E4636EF711F07C158CA0568E196","2B87E4636EF711F07C158CA0568E196","2B87E4636EF711F07C158CA0568E196","2B87E4636EF711F07C158CA0568E196","2B87E4636EF711F07C158CA0568E196"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.009369,-0.032601,-0.004252,0.999416,-2.968368,2.622792,-3.494759
1,0.002778,-0.009909,-0.032904,-0.004563,0.999399,-2.968842,2.622663,-3.494823
2,0.005556,-0.016451,-0.035311,-0.003838,0.999234,-2.969653,2.623363,-3.494916
3,0.008333,-0.016100,-0.034706,-0.003644,0.999261,-2.970172,2.623295,-3.494882
4,0.011111,-0.017611,-0.035472,-0.003262,0.999210,-2.970446,2.622982,-3.494953
5,0.013889,-0.017069,-0.036589,-0.002457,0.999182,-2.970857,2.622988,-3.494912
6,0.016667,-0.019236,-0.036692,0.000197,0.999141,-2.971218,2.622656,-3.494933
7,0.019444,-0.018500,-0.036996,0.000254,0.999144,-2.971775,2.622579,-3.494929
8,0.022222,-0.018203,-0.035916,-0.001395,0.999188,-2.972330,2.622390,-3.495092
9,0.025000,-0.014540,-0.035093,-0.003599,0.999272,-2.972613,2.622026,-3.495158
10,0.027778,-0.013740,-0.034884,-0.002400,0.999294,-2.972902,2.621888,-3.495240
11,0.030556,-0.014439,-0.034889,-0.003535,0.999281,-2.973366,2.621669,-3.495337
12,0.033333,-0.013018,-0.033406,-0.004090,0.999349,-2.973823,2.622107,-3.495492
13,0.036111,-0.012738,-0.034234,-0.003194,0.999328,-2.974280,2.621875,-3.495559
14,0.038889,-0.016607,-0.034644,-0.002531,0.999259,-2.975030,2.622123,-3.495494
15,0.041667,-0.014294,-0.033199,-0.004192,0.999338,-2.975536,2.621781,-3.495741
16,0.044444,-0.014048,-0.033165,-0.003369,0.999346,-2.976059,2.621471,-3.495827
17,0.047222,-0.013740,-0.033321,-0.003814,0.999343,-2.976454,2.621356,-3.495920
18,0.050000,-0.013139,-0.034095,-0.002779,0.999328,-2.976825,2.621180,-3.495818
19,0.052778,-0.013256,-0.034006,-0.002718,0.999330,-2.977226,2.621185,-3.495844
20,0.055556,-0.012959,-0.034022,-0.003204,0.999332,-2.977665,2.621152,-3.495911
21,0.058333,-0.018469,-0.036752,-0.000676,0.999154,-2.978475,2.621519,-3.496091
22,0.061111,-0.021312,-0.036147,-0.000738,0.999119,-2.978670,2.621750,-3.495805
23,0.063889,,,,,,,
24,0.066667,0.014165,0.032200,0.006772,-0.999358,-2.979705,2.621084,-3.496096
25,0.069444,0.019777,0.035460,0.003550,-0.999169,-2.980627,2.621521,-3.496083
26,0.072222,0.020440,0.035230,0.002024,-0.999168,-2.981024,2.621303,-3.496031
27,0.075000,0.019830,0.035243,0.001388,-0.999181,-2.981442,2.621055,-3.496109
28,0.077778,0.019813,0.036106,0.001717,-0.999150,-2.981837,2.621085,-3.496097
29,0.080556,0.020664,0.035647,0.001985,-0.999149,-2.982182,2.621055,-3.496114
30,0.083333,0.020735,0.035443,0.001925,-0.999155,-2.982631,2.620995,-3.496156
31,0.086111,0.019366,0.036015,0.002679,-0.999160,-2.983128,2.620891,-3.496272
32,0.088889,0.018868,0.035493,0.004402,-0.999182,-2.983776,2.621012,-3.496212
33,0.091667,0.017972,0.035019,0.003362,-0.999219,-2.984215,2.620953,-3.496349
34,0.094444,0.019270,0.035423,0.003418,-0.999181,-2.984563,2.620707,-3.496439
35,0.097222,0.018988,0.036041,0.003076,-0.999165,-2.985310,2.620701,-3.496632
36,0.100000,0.020340,0.037365,-0.000505,-0.999095,-2.985658,2.620824,-3.496438
37,0.102778,0.018997,0.036991,-0.003319,-0.999130,-2.985969,2.620419,-3.496397
38,0.105556,0.019609,0.037556,-0.001345,-0.999101,-2.986475,2.620627,-3.496549
39,0.108333,0.019381,0.036653,0.000577,-0.999140,-2.987119,2.620423,-3.496814
40,0.111111,0.018444,0.036195,0.000891,-0.999174,-2.987606,2.620420,-3.496841
41,0.113889,0.017942,0.036028,0.001568,-0.999189,-2.988102,2.620404,-3.496778
42,0.116667,0.017920,0.036230,0.002230,-0.999180,-2.988555,2.620424,-3.496776
43,0.119444,0.017730,0.036272,0.002488,-0.999182,-2.988949,2.620373,-3.496823
44,0.122222,0.019146,0.036123,0.001831,-0.999162,-2.989536,2.619964,-3.496908
45,0.125000,0.018550,0.036487,0.002293,-0.999159,-2.990014,2.619812,-3.496942
46,0.127778,0.019961,0.036515,0.000418,-0.999134,-2.990404,2.619509,-3.496913
47,0.130556,0.019994,0.036717,-0.001009,-0.999125,-2.990837,2.619369,-3.496923
48,0.133333,0.019425,0.037361,-0.001681,-0.999112,-2.991192,2.619377,-3.496905
49,0.136111,0.017705,0.036496,0.002253,-0.999174,-2.991792,2.619350,-3.497152
50,0.138889,0.020130,0.038048,0.001755,-0.999072,-2.992475,2.619452,-3.497537
51,0.141667,0.019740,0.037057,-0.000433,-0.999118,-2.992931,2.619584,-3.497689
52,0.144444,0.019439,0.035690,0.001492,-0.999173,-2.993753,2.619739,-3.497727
53,0.147222,0.018909,0.035929,0.000747,-0.999175,-2.994188,2.619603,-3.497766
54,0.150000,0.019427,0.035651,0.001709,-0.999174,-2.994659,2.619443,-3.497754
55,0.152778,0.019401,0.035653,0.002295,-0.999173,-2.995054,2.619318,-3.497802
56,0.155556,0.019815,0.035451,0.001292,-0.999174,-2.995456,2.619122,-3.497711
57,0.158333,0.019844,0.035326,0.000680,-0.999179,-2.995932,2.618874,-3.497739
58,0.161111,0.018713,0.036011,0.001694,-0.999175,-2.996638,2.618938,-3.497904
59,0.163889,0.018077,0.036962,0.001838,-0.999152,-2.996973,2.618847,-3.497818
60,0.166667,0.017530,0.036598,0.002968,-0.999172,-2.997553,2.619082,-3.497791
61,0.169444,0.018021,0.036737,0.003496,-0.999156,-2.997980,2.619066,-3.497827
62,0.172222,0.018334,0.035705,0.003952,-0.999186,-2.998523,2.618927,-3.497979
63,0.175000,0.021752,0.034668,0.003460,-0.999156,-2.998965,2.618896,-3.497724
64,0.177778,0.020012,0.036086,0.003900,-0.999141,-2.999423,2.618572,-3.497762
65,0.180556,0.015717,0.034871,0.003824,-0.999261,-2.999300,2.617358,-3.497859
66,0.183333,0.022464,0.037224,-0.000317,-0.999054,-3.000094,2.617824,-3.497907
67,0.186111,0.013731,0.035809,0.002674,-0.999261,-3.000461,2.617033,-3.497893
68,0.188889,0.020058,0.036670,0.001440,-0.999125,-3.001263,2.617885,-3.497983
69,0.191667,0.020436,0.036796,0.001809,-0.999112,-3.001712,2.617861,-3.498019
70,0.194444,0.020128,0.036736,0.001277,-0.999122,-3.002103,2.617873,-3.498027
71,0.197222,0.017656,0.035122,0.002334,-0.999224,-3.002845,2.618075,-3.498252
72,0.200000,0.017801,0.035984,0.002678,-0.999190,-3.003257,2.617959,-3.498240
73,0.202778,0.020467,0.036630,0.004610,-0.999109,-3.003817,2.617942,-3.498382
74,0.205556,0.020875,0.036750,0.001167,-0.999106,-3.004167,2.617525,-3.498437
75,0.208333,0.020594,0.036570,0.000291,-0.999119,-3.004680,2.617297,-3.498463
76,0.211111,0.014177,0.035173,0.003031,-0.999276,-3.004824,2.616575,-3.498509
77,0.213889,0.019736,0.037104,0.000947,-0.999116,-3.005596,2.617078,-3.498608
78,0.216667,0.019650,0.037337,-0.000211,-0.999110,-3.006113,2.617117,-3.498599
79,0.219444,0.019368,0.036775,0.000728,-0.999136,-3.006731,2.617407,-3.498547
80,0.222222,0.019129,0.036391,0.001313,-0.999154,-3.007210,2.617277,-3.498573
81,0.225000,0.012429,0.034896,0.004451,-0.999304,-3.007478,2.616619,-3.498585
82,0.227778,0.016966,0.036394,0.003755,-0.999187,-3.008088,2.617193,-3.498698
83,0.230556,0.017719,0.036824,0.004216,-0.999156,-3.008589,2.616959,-3.498719
84,0.233333,0.018184,0.037115,0.002983,-0.999141,-3.009130,2.616775,-3.498749
