Format Version,1.23,Take Name,Team4Aug1Flight3,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2025-08-01 01.01.09.403 PM,Total Frames in Take,36667,Total Exported Frames,36667,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.009048,0.075496,-0.026472,0.996754,-3.720718,2.130228,-3.014459
1,0.002778,-0.009029,0.075436,-0.026999,0.996744,-3.720235,2.130385,-3.014512
2,0.005556,-0.005891,0.076495,-0.038399,0.996313,-3.719746,2.130671,-3.014086
3,0.008333,-0.014303,0.077460,-0.020331,0.996686,-3.719043,2.130761,-3.014273
4,0.011111,-0.014771,0.077638,-0.020406,0.996663,-3.718368,2.130860,-3.014323
5,0.013889,-0.014371,0.077456,-0.020793,0.996675,-3.717904,2.130979,-3.014332
6,0.016667,-0.019948,0.076270,-0.012244,0.996813,-3.717386,2.129975,-3.014516
7,0.019444,-0.019825,0.076466,-0.012286,0.996799,-3.716797,2.130252,-3.014685
8,0.022222,-0.015892,0.077149,-0.027165,0.996523,-3.716312,2.132252,-3.014685
9,0.025000,-0.015164,0.077648,-0.026846,0.996504,-3.715847,2.132214,-3.014685
10,0.027778,-0.015210,0.077278,-0.026274,0.996547,-3.715424,2.132359,-3.014670
11,0.030556,-0.004393,0.077426,-0.031497,0.996491,-3.714750,2.131308,-3.014220
12,0.033333,-0.003692,0.078025,-0.028333,0.996542,-3.714238,2.131457,-3.014301
13,0.036111,-0.004236,0.077703,-0.028957,0.996547,-3.713745,2.131298,-3.014399
14,0.038889,0.005377,0.081334,-0.029250,0.996243,-3.713071,2.129714,-3.015542
15,0.041667,-0.013979,0.077683,-0.023873,0.996594,-3.712532,2.132176,-3.014704
16,0.044444,-0.000705,0.078990,-0.030172,0.996419,-3.712167,2.130166,-3.016359
17,0.047222,-0.015929,0.077695,-0.025220,0.996531,-3.711620,2.133123,-3.014948
18,0.050000,-0.004914,0.078374,-0.029717,0.996469,-3.711091,2.132080,-3.014585
19,0.052778,-0.004913,0.078010,-0.029102,0.996516,-3.710590,2.132081,-3.014575
20,0.055556,-0.016126,0.077196,-0.022348,0.996635,-3.710107,2.133292,-3.014940
21,0.058333,-0.017131,0.077408,-0.020773,0.996636,-3.709602,2.133251,-3.015060
22,0.061111,,,,,,,
23,0.063889,0.009886,-0.077815,0.026108,-0.996577,-3.708302,2.132870,-3.014921
24,0.066667,0.017466,-0.077764,0.021339,-0.996590,-3.707869,2.133507,-3.015065
25,0.069444,0.020565,-0.076327,0.014668,-0.996763,-3.707407,2.133144,-3.015429
26,0.072222,0.003207,-0.078154,0.028446,-0.996530,-3.706756,2.132443,-3.014636
27,0.075000,0.012354,-0.078013,0.022114,-0.996631,-3.706248,2.133360,-3.014983
28,0.077778,0.009820,-0.078669,0.018434,-0.996682,-3.705888,2.132820,-3.014819
29,0.080556,0.011676,-0.078419,0.023525,-0.996575,-3.705283,2.133691,-3.014981
30,0.083333,0.002843,-0.078966,0.023487,-0.996597,-3.704731,2.132370,-3.014564
31,0.086111,0.016588,-0.076462,0.019127,-0.996751,-3.704090,2.132755,-3.015350
32,0.088889,0.014684,-0.078380,0.025039,-0.996501,-3.703551,2.134223,-3.015020
33,0.091667,0.016860,-0.078015,0.018748,-0.996633,-3.703022,2.133560,-3.015301
34,0.094444,0.015954,-0.077526,0.018616,-0.996689,-3.702468,2.133790,-3.015337
35,0.097222,0.015514,-0.077517,0.018897,-0.996691,-3.702042,2.133913,-3.015352
36,0.100000,0.011280,-0.078340,0.018352,-0.996694,-3.701395,2.133126,-3.014994
37,0.102778,0.010767,-0.079052,0.015319,-0.996695,-3.700864,2.133671,-3.014872
38,0.105556,0.010562,-0.079421,0.016370,-0.996651,-3.700439,2.133810,-3.014896
39,0.108333,0.002505,-0.078843,0.026697,-0.996526,-3.699582,2.132807,-3.014670
40,0.111111,0.007534,-0.077386,0.027698,-0.996588,-3.699246,2.133203,-3.015194
41,0.113889,0.014264,-0.078256,0.018236,-0.996664,-3.698617,2.134069,-3.015363
42,0.116667,0.012841,-0.077991,0.019346,-0.996684,-3.698067,2.134317,-3.015406
43,0.119444,0.012542,-0.077867,0.024566,-0.996582,-3.697545,2.134231,-3.015465
44,0.122222,0.012294,-0.077749,0.024495,-0.996596,-3.697084,2.134345,-3.015457
45,0.125000,0.011954,-0.078309,0.025865,-0.996522,-3.696413,2.134468,-3.015249
46,0.127778,0.012558,-0.079762,0.015384,-0.996616,-3.695658,2.133064,-3.014806
47,0.130556,0.017808,-0.078006,0.007080,-0.996769,-3.695459,2.133016,-3.015252
48,0.133333,0.013868,-0.078697,0.017324,-0.996652,-3.694746,2.133996,-3.014976
49,0.136111,0.015490,-0.077776,0.021330,-0.996622,-3.693950,2.133976,-3.015470
50,0.138889,0.009263,-0.077227,0.025527,-0.996644,-3.693439,2.133449,-3.015172
51,0.141667,0.021595,-0.076327,0.018038,-0.996686,-3.693105,2.134362,-3.015464
52,0.144444,0.021196,-0.076160,0.016219,-0.996738,-3.692667,2.134513,-3.015431
53,0.147222,0.016656,-0.078905,0.009342,-0.996699,-3.692106,2.132389,-3.014544
54,0.150000,0.004639,-0.078684,0.020906,-0.996670,-3.691516,2.134125,-3.014782
55,0.152778,0.008725,-0.078064,0.020011,-0.996709,-3.690929,2.134195,-3.014842
56,0.155556,0.018809,-0.076366,0.018664,-0.996728,-3.690488,2.135424,-3.015133
57,0.158333,0.021144,-0.077639,-0.000482,-0.996757,-3.689785,2.133762,-3.014846
58,0.161111,0.016047,-0.076954,0.015143,-0.996790,-3.689125,2.135198,-3.015302
59,0.163889,0.014722,-0.078134,0.017127,-0.996687,-3.688694,2.135432,-3.015091
60,0.166667,0.007304,-0.077962,0.018806,-0.996752,-3.688163,2.134347,-3.014845
61,0.169444,0.004927,-0.078424,0.026002,-0.996569,-3.687675,2.134929,-3.014525
62,0.172222,0.005346,-0.077907,0.023872,-0.996661,-3.686947,2.135060,-3.014479
63,0.175000,0.013032,-0.077780,0.020679,-0.996671,-3.686496,2.135604,-3.014866
64,0.177778,0.013357,-0.076875,0.022669,-0.996693,-3.685933,2.135779,-3.014950
65,0.180556,0.013680,-0.077331,0.023068,-0.996645,-3.685394,2.135876,-3.014938
66,0.183333,0.016027,-0.076547,0.016895,-0.996794,-3.684696,2.135464,-3.015270
67,0.186111,0.015953,-0.076744,0.017322,-0.996773,-3.684247,2.135517,-3.015282
68,0.188889,0.013437,-0.078027,0.021857,-0.996621,-3.683875,2.136104,-3.014986
69,0.191667,0.013818,-0.078004,0.020675,-0.996643,-3.683366,2.135989,-3.014890
70,0.194444,0.014756,-0.077039,0.009970,-0.996869,-3.682683,2.135279,-3.015001
71,0.197222,0.012075,-0.078326,0.016092,-0.996725,-3.682039,2.136027,-3.014713
72,0.200000,0.010193,-0.078268,0.016282,-0.996747,-3.681463,2.135419,-3.014636
73,0.202778,0.012557,-0.077030,0.021047,-0.996728,-3.680843,2.135769,-3.014772
74,0.205556,0.012099,-0.077358,0.023463,-0.996654,-3.680287,2.136122,-3.014853
75,0.208333,0.014665,-0.077192,0.013900,-0.996812,-3.679569,2.135262,-3.015030
76,0.211111,0.016349,-0.077037,0.012545,-0.996815,-3.679188,2.135324,-3.014974
77,0.213889,0.013283,-0.077861,0.020441,-0.996666,-3.678862,2.136119,-3.014752
78,0.216667,0.009900,-0.078999,0.012458,-0.996748,-3.678408,2.135817,-3.014512
79,0.219444,0.011377,-0.078502,0.018091,-0.996685,-3.677829,2.136693,-3.014597
80,0.222222,0.008900,-0.078533,0.018415,-0.996702,-3.677215,2.136137,-3.014373
81,0.225000,-0.002856,-0.078946,0.023690,-0.996593,-3.676436,2.134815,-3.013982
82,0.227778,0.003029,-0.078277,0.025929,-0.996590,-3.675908,2.135614,-3.014287
83,0.230556,0.017869,-0.076579,0.012789,-0.996821,-3.675338,2.136068,-3.014912
84,0.233333,0.017195,-0.076673,0.010910,-0.996848,-3.674748,2.135812,-3.014855
85,0.236111,0.010797,-0.077878,0.015479,-0.996784,-3.674207,2.135542,-3.014728
86,0.238889,0.011373,-0.077848,0.010281,-0.996847,-3.673718,2.135681,-3.014760
87,0.241667,0.007411,-0.079361,0.018027,-0.996655,-3.673257,2.136476,-3.014457
88,0.244444,0.016537,-0.077230,0.000050,-0.996876,-3.672932,2.135078,-3.014435
89,0.247222,0.017675,-0.076226,0.013356,-0.996844,-3.672528,2.136451,-3.014721
90,0.250000,0.018245,-0.076832,0.001454,-0.996876,-3.671740,2.135042,-3.014302
91,0.252778,0.009230,-0.079218,0.025387,-0.996491,-3.671006,2.137122,-3.014268
92,0.255556,0.011075,-0.077980,0.016404,-0.996758,-3.670357,2.136378,-3.014587
93,0.258333,0.011181,-0.077712,0.012861,-0.996830,-3.669945,2.136561,-3.014480
94,0.261111,0.010842,-0.077933,0.013515,-0.996808,-3.669555,2.136669,-3.014457
95,0.263889,0.011181,-0.077588,0.007961,-0.996891,-3.668990,2.136815,-3.014478
96,0.266667,0.011198,-0.078011,0.007570,-0.996861,-3.668639,2.136837,-3.014187
97,0.269444,0.013336,-0.076990,0.008450,-0.996907,-3.668138,2.136931,-3.014100
98,0.272222,0.014571,-0.077639,-0.002994,-0.996871,-3.667185,2.135180,-3.013685
99,0.275000,0.015431,-0.078033,-0.003139,-0.996826,-3.666607,2.135239,-3.013645
100,0.277778,0.007105,-0.079817,0.012383,-0.996707,-3.666133,2.136986,-3.013393
101,0.280556,0.015024,-0.077161,0.009209,-0.996863,-3.665546,2.137063,-3.014019
102,0.283333,0.014888,-0.077228,0.008714,-0.996864,-3.665181,2.137214,-3.013996
103,0.286111,0.019284,-0.077916,-0.004327,-0.996764,-3.664352,2.136697,-3.013705
104,0.288889,0.004897,-0.077930,0.009432,-0.996902,-3.664240,2.136880,-3.013587
105,0.291667,0.010239,-0.078687,0.011805,-0.996777,-3.663740,2.138484,-3.013574
106,0.294444,0.014747,-0.076508,0.010964,-0.996900,-3.663183,2.137183,-3.013796
107,0.297222,0.016763,-0.075417,0.009692,-0.996964,-3.662515,2.137003,-3.013794
108,0.300000,0.015982,-0.075738,0.011773,-0.996930,-3.661818,2.137465,-3.013801
109,0.302778,0.016230,-0.076409,0.009616,-0.996898,-3.661157,2.137222,-3.013758
110,0.305556,0.013903,-0.076978,0.011350,-0.996871,-3.660692,2.137151,-3.013671
111,0.308333,0.015873,-0.077286,0.006173,-0.996864,-3.660186,2.136800,-3.013469
112,0.311111,0.015392,-0.077059,0.003838,-0.996900,-3.659682,2.137001,-3.013458
113,0.313889,0.015292,-0.076724,0.003170,-0.996930,-3.659232,2.137155,-3.013391
114,0.316667,0.010817,-0.077490,0.014329,-0.996832,-3.658656,2.138042,-3.013019
115,0.319444,0.018349,-0.075833,0.005117,-0.996939,-3.657965,2.136521,-3.013294
116,0.322222,0.017373,-0.075720,0.005870,-0.996961,-3.657528,2.136876,-3.013228
117,0.325000,0.016950,-0.075441,0.007041,-0.996981,-3.656885,2.137260,-3.013240
