Format Version,1.23,Take Name,Team4Aug1Flight4,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2025-08-01 01.04.35.176 PM,Total Frames in Take,14482,Total Exported Frames,14482,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196","B7864136EF811F07C158CA0568E196"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.024433,0.095546,0.008102,-0.995092,-3.741007,1.985799,-2.616457
1,0.002778,0.024643,0.095743,0.008043,-0.995068,-3.740984,1.985639,-2.616376
2,0.005556,0.040069,0.095929,0.045639,-0.993534,-3.739028,1.980566,-2.616980
3,0.008333,0.024747,0.095060,0.006618,-0.995142,-3.740980,1.985236,-2.616144
4,0.011111,0.041542,0.095818,0.042716,-0.993614,-3.738922,1.980082,-2.616622
5,0.013889,0.041559,0.095841,0.041880,-0.993647,-3.738933,1.979954,-2.616529
6,0.016667,0.042059,0.095782,0.042792,-0.993592,-3.738892,1.979681,-2.616498
7,0.019444,0.026385,0.095219,0.004686,-0.995095,-3.740895,1.984491,-2.615786
8,0.022222,0.026839,0.095150,0.004040,-0.995093,-3.740880,1.984377,-2.615706
9,0.025000,0.027057,0.095204,0.003856,-0.995083,-3.740871,1.984308,-2.615621
10,0.027778,0.027037,0.095236,0.003031,-0.995083,-3.740880,1.984145,-2.615542
11,0.030556,0.029723,0.095056,0.003005,-0.995024,-3.740883,1.984158,-2.615592
12,0.033333,0.032606,0.094813,0.000902,-0.994961,-3.740893,1.983582,-2.615417
13,0.036111,0.027173,0.096120,0.002956,-0.994994,-3.741054,1.983916,-2.614680
14,0.038889,0.035003,0.094825,-0.001042,-0.994878,-3.740964,1.983139,-2.615371
15,0.041667,0.032376,0.095740,-0.000853,-0.994879,-3.741159,1.983065,-2.614495
16,0.044444,0.032131,0.096136,-0.001665,-0.994848,-3.741224,1.982851,-2.614305
17,0.047222,0.031644,0.095350,-0.001144,-0.994940,-3.741180,1.982756,-2.614417
18,0.050000,0.045556,0.096124,0.031797,-0.993818,-3.739538,1.978212,-2.614815
19,0.052778,0.027478,0.101606,-0.009439,-0.994400,-3.741084,1.983635,-2.613151
20,0.055556,0.019269,0.105287,-0.028161,-0.993856,-3.741280,1.985844,-2.612285
21,0.058333,0.025704,0.103868,-0.013302,-0.994170,-3.740969,1.983857,-2.612654
22,0.061111,0.025184,0.103862,-0.013179,-0.994186,-3.740983,1.983707,-2.612652
23,0.063889,0.027751,0.102446,-0.009492,-0.994306,-3.741098,1.982945,-2.612853
24,0.066667,0.026368,0.103339,-0.010639,-0.994240,-3.741039,1.983155,-2.612639
25,0.069444,,,,,,,
26,0.072222,0.028975,0.101972,-0.007583,-0.994336,-3.741320,1.982710,-2.612844
27,0.075000,0.027856,0.101914,-0.008067,-0.994370,-3.741367,1.982762,-2.612802
28,0.077778,0.017918,0.095140,-0.000215,-0.995303,-3.741690,1.981926,-2.614294
29,0.080556,0.029085,0.095859,-0.003362,-0.994964,-3.741339,1.981638,-2.613908
30,0.083333,0.029739,0.096646,-0.000082,-0.994874,-3.741374,1.980035,-2.614299
31,0.086111,0.030411,0.096683,-0.000372,-0.994851,-3.741428,1.979892,-2.614296
32,0.088889,0.034133,0.096021,-0.001717,-0.994792,-3.741337,1.980165,-2.614281
33,0.091667,0.033569,0.096014,-0.002422,-0.994811,-3.741267,1.979977,-2.614300
34,0.094444,0.031266,0.096107,-0.001516,-0.994879,-3.741531,1.979895,-2.614213
35,0.097222,0.034956,0.095484,0.003076,-0.994812,-3.741782,1.980393,-2.613958
36,0.100000,0.034592,0.095326,0.001566,-0.994844,-3.741903,1.979967,-2.613849
37,0.102778,0.035055,0.095461,-0.000242,-0.994816,-3.741979,1.979915,-2.613815
38,0.105556,0.039419,0.094787,-0.006158,-0.994698,-3.742034,1.979152,-2.613485
39,0.108333,0.034056,0.095399,-0.003838,-0.994849,-3.741865,1.979332,-2.614192
40,0.111111,0.031821,0.095886,-0.003002,-0.994879,-3.742078,1.979035,-2.613984
41,0.113889,0.031876,0.095733,-0.003132,-0.994892,-3.742168,1.978933,-2.613981
42,0.116667,0.034958,0.095956,-0.002070,-0.994769,-3.742125,1.978751,-2.614111
43,0.119444,0.031864,0.096071,-0.001137,-0.994864,-3.742258,1.978428,-2.613810
44,0.122222,0.034830,0.096420,-0.004895,-0.994719,-3.742505,1.978896,-2.613485
45,0.125000,0.031599,0.095322,-0.005302,-0.994931,-3.742895,1.979856,-2.614079
46,0.127778,0.028450,0.095130,-0.005728,-0.995042,-3.743096,1.979493,-2.613429
47,0.130556,0.029027,0.096145,-0.001635,-0.994943,-3.743325,1.979227,-2.613223
48,0.133333,0.029003,0.096116,-0.001496,-0.994946,-3.743444,1.979050,-2.613226
49,0.136111,0.028507,0.096464,-0.002003,-0.994926,-3.743595,1.978873,-2.613261
50,0.138889,0.031484,0.096270,-0.003272,-0.994852,-3.743613,1.978975,-2.613923
51,0.141667,0.032588,0.095936,-0.005447,-0.994839,-3.743715,1.979609,-2.614114
52,0.144444,0.031776,0.097113,-0.005359,-0.994752,-3.743946,1.979534,-2.614357
53,0.147222,0.024668,0.097042,-0.003629,-0.994968,-3.744097,1.978817,-2.614059
54,0.150000,0.024592,0.096486,-0.003953,-0.995023,-3.744160,1.978651,-2.613940
55,0.152778,0.025606,0.099842,0.007303,-0.994647,-3.744331,1.977929,-2.613432
56,0.155556,0.026761,0.097466,0.010639,-0.994822,-3.744429,1.978417,-2.612885
57,0.158333,0.025773,0.097505,-0.005025,-0.994889,-3.744634,1.978739,-2.613893
58,0.161111,0.026758,0.095001,-0.000513,-0.995117,-3.744719,1.979174,-2.613328
59,0.163889,0.025419,0.099992,0.007203,-0.994638,-3.744756,1.977703,-2.613540
60,0.166667,0.024033,0.093936,-0.001180,-0.995287,-3.745060,1.978752,-2.613683
61,0.169444,0.025017,0.098745,0.005988,-0.994780,-3.745134,1.977304,-2.613312
62,0.172222,0.028013,0.094199,-0.002826,-0.995155,-3.745387,1.978795,-2.613490
63,0.175000,0.024412,0.098763,-0.005079,-0.994799,-3.745586,1.977831,-2.613635
64,0.177778,0.028345,0.099316,-0.005114,-0.994639,-3.745606,1.977309,-2.613728
65,0.180556,0.027573,0.097672,0.004294,-0.994827,-3.745775,1.976493,-2.614018
66,0.183333,0.029458,0.097628,0.002706,-0.994783,-3.745853,1.976057,-2.613978
67,0.186111,0.030177,0.095229,-0.006113,-0.994979,-3.745867,1.976709,-2.614459
68,0.188889,0.026745,0.094616,-0.006677,-0.995132,-3.746225,1.977313,-2.614397
69,0.191667,0.032417,0.094610,-0.012731,-0.994905,-3.746417,1.976732,-2.614255
70,0.194444,0.028039,0.095306,-0.007368,-0.995026,-3.746519,1.977224,-2.614541
71,0.197222,0.027516,0.095421,-0.006127,-0.995038,-3.746707,1.977137,-2.614642
72,0.200000,0.026613,0.095269,-0.008042,-0.995063,-3.746808,1.976726,-2.614663
73,0.202778,0.027731,0.095268,-0.006519,-0.995044,-3.747053,1.976866,-2.614714
74,0.205556,0.026563,0.095222,-0.007558,-0.995073,-3.747078,1.976519,-2.614729
75,0.208333,0.027520,0.097582,-0.002124,-0.994845,-3.747438,1.976380,-2.614433
76,0.211111,0.026841,0.097136,-0.003189,-0.994904,-3.747537,1.975828,-2.614509
77,0.213889,0.026757,0.097082,-0.003151,-0.994912,-3.747676,1.975739,-2.614559
78,0.216667,0.026218,0.096804,-0.002839,-0.994954,-3.747859,1.975793,-2.614730
79,0.219444,0.028330,0.098760,0.004027,-0.994700,-3.748175,1.975609,-2.614707
80,0.222222,0.026972,0.098845,0.003819,-0.994730,-3.748406,1.975942,-2.614909
81,0.225000,0.025798,0.098319,0.006109,-0.994802,-3.748702,1.975647,-2.614258
82,0.227778,0.017181,0.099618,0.006878,-0.994854,-3.749001,1.974842,-2.614456
83,0.230556,0.020383,0.097936,0.004907,-0.994972,-3.748938,1.974622,-2.614864
84,0.233333,0.023548,0.099855,0.004208,-0.994714,-3.749234,1.975794,-2.614032
85,0.236111,0.024244,0.096748,0.011718,-0.994945,-3.749436,1.975139,-2.614779
86,0.238889,0.023793,0.096084,0.010850,-0.995030,-3.749687,1.975677,-2.614994
87,0.241667,0.035753,0.098170,0.010660,-0.994470,-3.749495,1.974195,-2.615095
88,0.244444,0.036210,0.096633,0.006213,-0.994642,-3.749623,1.974565,-2.615472
89,0.247222,0.024346,0.093346,0.003973,-0.995328,-3.750428,1.975827,-2.615580
90,0.250000,0.011165,0.093448,0.009056,-0.995520,-3.751024,1.975746,-2.614978
91,0.252778,0.010989,0.093540,0.008906,-0.995515,-3.751191,1.975731,-2.615019
92,0.255556,0.010791,0.093401,0.009605,-0.995524,-3.751340,1.975668,-2.615063
93,0.258333,0.008891,0.092510,0.010443,-0.995617,-3.751537,1.975856,-2.615270
94,0.261111,0.009372,0.092998,0.010365,-0.995568,-3.751786,1.975685,-2.615278
95,0.263889,0.017160,0.094902,0.014702,-0.995230,-3.752010,1.975262,-2.615152
96,0.266667,0.014592,0.094868,0.001296,-0.995382,-3.751962,1.975058,-2.615808
97,0.269444,0.006471,0.094142,0.004227,-0.995529,-3.752160,1.974640,-2.616052
98,0.272222,0.009756,0.094427,0.016063,-0.995354,-3.752489,1.974867,-2.615372
99,0.275000,0.006562,0.096075,0.009786,-0.995304,-3.752679,1.973820,-2.615926
100,0.277778,0.018801,0.095881,0.014527,-0.995109,-3.753143,1.974944,-2.615318
101,0.280556,0.017111,0.099005,0.011595,-0.994872,-3.753149,1.974623,-2.616226
102,0.283333,0.016095,0.097570,0.011838,-0.995028,-3.753091,1.974449,-2.616971
103,0.286111,0.015701,0.094615,0.015474,-0.995270,-3.753578,1.974714,-2.616150
104,0.288889,0.012352,0.097073,0.009470,-0.995156,-3.753869,1.973643,-2.616642
105,0.291667,0.014883,0.095844,0.015951,-0.995157,-3.754262,1.974468,-2.616307
106,0.294444,0.017261,0.095557,0.015971,-0.995146,-3.754520,1.974054,-2.616234
107,0.297222,0.015071,0.095819,0.016317,-0.995151,-3.754763,1.973981,-2.616100
108,0.300000,0.015631,0.095764,0.016753,-0.995140,-3.754932,1.973833,-2.616197
109,0.302778,0.026473,0.094514,0.011096,-0.995110,-3.755155,1.972429,-2.616274
110,0.305556,0.032857,0.096184,0.013305,-0.994732,-3.754941,1.971704,-2.616705
111,0.308333,0.024849,0.094306,0.012864,-0.995150,-3.755628,1.972509,-2.616441
112,0.311111,0.022898,0.096120,0.005118,-0.995093,-3.755546,1.971504,-2.617004
113,0.313889,0.023200,0.094850,0.005604,-0.995205,-3.755895,1.972030,-2.617310
114,0.316667,0.018129,0.095216,0.011769,-0.995222,-3.756164,1.972669,-2.617706
115,0.319444,0.010111,0.096545,0.014669,-0.995169,-3.756675,1.971981,-2.617334
116,0.322222,0.010045,0.096401,0.014345,-0.995189,-3.756910,1.971815,-2.617454
117,0.325000,0.010080,0.098118,0.010196,-0.995072,-3.757257,1.972218,-2.617202
118,0.327778,0.010620,0.098833,0.013203,-0.994960,-3.757605,1.972416,-2.617394
119,0.330556,0.010768,0.099689,0.014408,-0.994856,-3.757786,1.972506,-2.617692
